class,tags
0,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
2,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
3,"['democracy', 'guitar', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
6,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
8,"['democracy', 'guitar', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
4,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
5,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'tiger', 'equation', 'wrench', 'ocean']"
9,"['democracy', 'guitar', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
7,"['democracy', 'guitar', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
1,"['guitar', 'democracy', 'nebula', 'apple', 'satellite', 'mountain', 'tiger', 'equation', 'wrench', 'ocean']"
