class,tags
100,"['field', 'screen door', 'stair', 'glass door', 'grassy', 'pet', 'ballet skirt', 'jump', 'rose', 'wear', 'mouth', 'gray', 'computer chair', 'backyard', 'drawer', 'dog bed', 'animal', 'chase', 'broom', 'computer', 'stool', 'curtain', 'swing', 'white', 'pink', 'straw', 'hardwood floor', 'dog breed', 'leash', 'walk', 'cape', 'toy', 'bow tie', 'backdrop', 'lay', 'blanket', 'table', 'bench', 'laptop keyboard', 'fire pit', 'hairbrush', 'sunshine', 'purple', 'cloth', 'shopping basket', 'life jacket', 'bed', 'string', 'girl', 'computer desk', 'pot', 'man', 'sweatshirt', 'doll', 'cement', 'dresser', 'nose', 'dust', 'beagle', 'office supply', 'living room', 'barrel', 'hedge', 'obstacle course', 'blue', 'break', 'cocktail dress', 'stairwell', 'swimming pool', 'sandal', 'hand', 'stump', 'porch', 'fur', 'relax', 'schnauzer', 'party hat', 'wet', 'shirt', 'plant', 'birthday', 'pool', 'tile', 'lap', 'teddy', 'crate', 'stuff', 'bedcover', 'carpet', 'armchair', 'sheet', 'stone', 'park bench', 'brown', 'out', 'paw', 'campfire', 'remote', 'snow', 'hug', 'snowy', 'laundry basket', 'ramp', 'picnic table', 'patch', 'beach', 'brush', 'bow', 'yellow', 'doorway', 'grass', 'badminton', 'lamp', 'mat', 'comfort', 'neckband', 'lick', 'sky', 'robe', 'path', 'dog house', 'stand', 'deck', 'wood floor', 'woman', 'boardwalk', 'hardwood', 'dress', 'pad', 'sand', 'lush', 'tail', 'green', 'hang', 'ledge', 'goggles', 'couch', 'hay', 'pose', 'bureau', 'flower bed', 'door', 'window sill', 'concrete', 'black', 'judge', 'log', 'sit', 'shoulder', 'basket', 'sweater', 'daisy', 'play', 'catch', 'rail', 'slide', 'comb', 'laptop', 'dog', 'bottle', 'flower box', 'office chair', 'rope', 'floor', 'swivel chair', 'doormat', 'car', 'yard', 'tie', 'hood', 'flower', 'head', 'pavement', 'red', 'stare', 'ball', 'chair', 'person', 'hair', 'fence', 'container', 'wrap', 'cat bed', 'stick', 'window', 'hide', 'sun', 'pillow']"
23,"['field', 'eye', 'screen door', 'suv', 'sprinkler', 'neck', 'glass door', 'grassy', 'pet', 'jump', 'hill', 'drink', 'mouth', 'wear', 'gray', 'curb', 'open', 'toilet seat', 'backyard', 'handkerchief', 'drawer', 'liquid', 'dog bed', 'animal', 'chase', 'tool', 'park', 'dark', 'shoe', 'kitchen floor', 'stool', 'tree', 'white', 'vehicle', 'hardwood floor', 'dog breed', 'back', 'leash', 'walk', 'toy', 'box', 'kiss', 'bow tie', 'lay', 'cone', 'blanket', 'snowball', 'headscarf', 'purple', 'cloth', 'food', 'bookshelf', 'bed', 'cheese', 'spray', 'sleep', 'plate', 'man', 'cat', 'radiator', 'dog food', 'dresser', 'cement', 'nose', 'area', 'running shoe', 'enclosure', 'strap', 'seat', 'autumn leave', 'living room', 'kitchen table', 'barrel', 'blue', 'pole', 'sheepdog', 'toilet bowl', 'sandal', 'trail', 'fur', 'relax', 'german shepherd', 'porch', 'couple', 'water', 'room', 'pool', 'pine', 'kitchen', 'lap', 'home appliance', 'teddy', 'stuff', 'bedcover', 'carpet', 'armchair', 'bowl', 'stone', 'brown', 'paw', 'remote', 'snow', 'milk', 'snowy', 'patch', 'yellow', 'tube', 'doorway', 'grass', 'mat', 'comfort', 'neckband', 'mess', 'lick', 'picture frame', 'path', 'stand', 'deck', 'wood floor', 'woman', 'kitchen counter', 'boy', 'shake', 'caterpillar', 'hardwood', 'paper towel', 'pad', 'lawn', 'lush', 'tail', 'green', 'napkin', 'hang', 'entertainment center', 'hay', 'couch', 'sleigh', 'pose', 'bureau', 'stethoscope', 'door', 'carry', 'black', 'judge', 'log', 'siamese', 'sit', 'car seat', 'house exterior', 'play', 'nightstand', 'catch', 'slide', 'wrestle', 'shepherd', 'can', 'dog', 'wood', 'quilt', 'car window', 'floor', 'doormat', 'car', 'yard', 'ride', 'pavement', 'bite', 'head', 'red', 'stare', 'fir tree', 'weed', 'evergreen', 'road', 'chair', 'person', 'fence', 'container', 'shadow', 'fall', 'sleepwear', 'hose', 'cane', 'cat bed', 'step stool', 'husky', 'pug', 'sun', 'family', 'pillow']"
14,"['field', 'eye', 'screen door', 'neck', 'grassy', 'pet', 'jump', 'hill', 'bone', 'mouth', 'wear', 'overall', 'rocky', 'antler', 'pointer', 'open', 'photo', 'backyard', 'award ceremony', 'drawer', 'handkerchief', 'dog bed', 'chase', 'animal', 'key', 'park', 'scarf', 'stool', 'kitchen floor', 'tree', 'canopy', 'white', 'pen', 'podium', 'hardwood floor', 'dog breed', 'leash', 'walk', 'tablecloth', 'trumpet', 'toy', 'lay', 'cap', 'blanket', 'headscarf', 'contest', 'bandage', 'squat', 'miniature', 'cloth', 'bark', 'bed', 'sleep', 'string', 'computer desk', 'girl', 'portrait', 'dog collar', 'man', 'dresser', 'sweatshirt', 'laboratory', 'nose', 'area', 'enclosure', 'beagle', 'lake', 'rottweiler', 'kitchen table', 'tape', 'blue', 'cloudy', 'cocktail dress', 'bush', 'gravel', 'hillside', 'christmas', 'hand', 'stump', 'porch', 'relax', 'award', 'read', 'dirt track', 'shirt', 'water', 'tree trunk', 'sun hat', 'file cabinet', 'pine', 'shelter', 'tile', 'lap', 'flag', 'moose', 'stuff', 'bedcover', 'carpet', 'armchair', 'cigar', 'stone', 'park bench', 'brown', 'paw', 'dirt field', 'daybed', 'picnic table', 'receive', 'beach', 'brush', 'trainer', 'grass', 'mat', 'comfort', 'neckband', 'sky', 'dog house', 'stand', 'deck', 'wood floor', 'woman', 'cage', 'studio', 'boy', 'dachshund', 'tennis', 'pad', 'lawn', 'lush', 'tail', 'green', 'hang', 'ledge', 'goggles', 'couch', 'hay', 'bureau', 'pose', 'hat', 'christmas tree', 'flower bed', 'dinning table', 'business suit', 'black', 'reindeer', 'judge', 'fireplace', 'plaque', 'tissue', 'sit', 'log', 'gift', 'play', 'catch', 'rail', 'shepherd', 'run', 'tan', 'dog', 'wood', 'sea', 'office chair', 'floor', 'car', 'yard', 'book', 'fair', 'tarp', 'head', 'bite', 'pavement', 'red', 'stare', 'baseball hat', 'weed', 'evergreen', 'ball', 'chair', 'person', 'fence', 'doberman', 'cup', 'sleepwear', 'hose', 'labrador', 'stick', 'earphone', 'pillow', 'footstall']"
91,"['field', 'eye', 'dalmatian', 'screen door', 'stair', 'glass door', 'grassy', 'pet', 'ballet skirt', 'shoreline', 'jump', 'hill', 'drink', 'mouth', 'wear', 'rocky', 'curb', 'garment', 'computer chair', 'open', 'entrance', 'dog bed', 'animal', 'chase', 'computer', 'stool', 'dark', 'kitchen floor', 'shoe', 'sun', 'tree', 'white', 'ivy', 'warehouse', 'pink', 'hardwood floor', 'package', 'dog breed', 'leash', 'tablecloth', 'walk', 'toy', 'sign', 'box', 'lay', 'table', 'blanket', 'bulletin board', 'pant', 'face', 'sip', 'bubble', 'cloth', 'food', 'bed', 'sleep', 'computer desk', 'girl', 'pot', 'dog collar', 'man', 'cigarette', 'dresser', 'sweatshirt', 'cement', 'nose', 'ear', 'enclosure', 'sand box', 'barrier', 'living room', 'office supply', 'strap', 'kitchen table', 'barrel', 'bin', 'balustrade', 'soap bubble', 'obstacle course', 'blue', 'cocktail dress', 'pole', 'christmas', 'hillside', 'hand', 'porch', 'jacket', 'relax', 'shirt', 'water', 'plant', 'room', 'chain', 'shelter', 'lap', 'holly', 'tile wall', 'crate', 'stuff', 'bedcover', 'carpet', 'armchair', 'sheet', 'stone', 'vegetation', 'brown', 'out', 'paw', 'course', 'dirt field', 'snow', 'ramp', 'stable', 'patch', 'dirt road', 'beach', 'brush', 'yellow', 'hassock', 'doorway', 'grass', 'barn', 'mat', 'comfort', 'hallway', 'neckband', 'greenery', 'lick', 'path', 'pitbull', 'stand', 'deck', 'wood floor', 'dog house', 'meat', 'cage', 'woman', 'office', 'hardwood', 'dress', 'pad', 'muzzle', 'sand', 'lawn', 'lush', 'closet', 'green', 'hang', 'ledge', 'entertainment center', 'couch', 'plastic', 'bureau', 'folding chair', 'hat', 'bulldog', 'christmas tree', 'door', 'boxer', 'dinning table', 'concrete', 'black', 'sit', 'sweater', 'cabinet', 'play', 'catch', 'rail', 'slide', 'wrestle', 'can', 'run', 'dog', 'sea', 'office chair', 'floor', 'swivel chair', 'yard', 'tie', 'christmas hat', 'bite', 'head', 'pavement', 'red', 'stare', 'ball', 'chair', 'person', 'fence', 'treat', 'close-up', 'shadow', 'container', 'coast', 'hurdle', 'hose', 'stick', 'blow', 'pug', 'building', 'hide', 'bush', 'curl', 'wall', 'pillow']"
16,"['field', 'suv', 'grassy', 'pet', 'wildflower', 'jump', 'hill', 'drink', 'mouth', 'wear', 'cart', 'curb', 'pointer', 'open', 'ribbon', 'photo', 'backyard', 'chase', 'animal', 'park', 'stool', 'pine forest', 'tree', 'swing', 'white', 'dandelion', 'pen', 'tight', 'pink', 'hardwood floor', 'dog breed', 'back', 'leash', 'walk', 'toy', 'sign', 'backdrop', 'lay', 'blanket', 'headscarf', 'contest', 'boot', 'bandage', 'check', 'bed', 'sleep', 'bank', 'man', 'doll', 'nose', 'area', 'enclosure', 'beagle', 'living room', 'barrier', 'barrel', 'obstacle course', 'trench coat', 'arena', 'pole', 'hillside', 'flood', 'hand', 'stump', 'relax', 'dirt track', 'tree trunk', 'pick up', 'plant', 'water', 'flower field', 'room', 'pool', 'shelter', 'lap', 'stuff', 'bedcover', 'carpet', 'armchair', 'park bench', 'brown', 'paw', 'dirt field', 'snow', 'snowy', 'milk', 'forest', 'patch', 'beach', 'trainer', 'huddle', 'yellow', 'grass', 'mat', 'comfort', 'manger', 'neckband', 'lick', 'well', 'dog house', 'stand', 'wood floor', 'woman', 'boy', 'cage', 'shake', 'hardwood', 'dress', 'lab coat', 'train track', 'pad', 'muzzle', 'sand', 'lush', 'tail', 'green', 'hang', 'couch', 'camper', 'folding chair', 'license plate', 'boxer', 'black', 'judge', 'log', 'sit', 'daisy', 'play', 'catch', 'pigeon', 'garage door', 'run', 'dog', 'bottle', 'wood', 'sea', 'dot', 'car window', 'floor', 'car', 'yard', 'jeep', 'fair', 'flower', 'shopping cart', 'pavement', 'basin', 'red', 'stare', 'truck', 'chair', 'person', 'fence', 'dry', 'coast', 'hurdle', 'stick', 'hide', 'pillow']"
12,"['field', 'eye', 'floor mat', 'suv', 'cowboy hat', 'neck', 'screen door', 'glass door', 'grassy', 'pet', 'bone', 'hill', 'mouth', 'wear', 'overall', 'paling', 'open', 'ribbon', 'photo', 'drawer', 'dog bed', 'sculpture', 'chase', 'animal', 'park', 'shed', 'stool', 'shoe', 'kitchen floor', 'tree', 'white', 'pink', 'sedan', 'hardwood floor', 'vehicle', 'dog breed', 'back', 'leash', 'walk', 'tablecloth', 'toy', 'kiss', 'lay', 'blanket', 'table', 'bulletin board', 'bench', 'squat', 'food', 'kitchen island', 'cloth', 'life jacket', 'bed', 'sleep', 'girl', 'sock', 'counter top', 'dog collar', 'denim jacket', 'man', 'dresser', 'sweatshirt', 'nose', 'ear', 'running shoe', 'beagle', 'living room', 'seat', 'plectrum', 'share', 'rottweiler', 'kitchen table', 'platter', 'tape', 'obstacle course', 'blue', 'cloudy', 'hillside', 'hand', 'stump', 'porch', 'relax', 'award', 'tree trunk', 'shirt', 'pick up', 'water', 'plant', 'sun hat', 'room', 'couple', 'kitchen', 'lap', 'home appliance', 'crate', 'stuff', 'bedcover', 'carpet', 'armchair', 'stone', 'brown', 'out', 'paw', 'dirt field', 'daybed', 'snow', 'hug', 'take', 'forest', 'patch', 'picnic table', 'beach', 'taxi', 'trainer', 'hassock', 'doorway', 'grass', 'mat', 'comfort', 'neckband', 'lick', 'sky', 'path', 'cross', 'dog house', 'stand', 'deck', 'wood floor', 'meat', 'boy', 'woman', 'kitchen counter', 'dachshund', 'child', 'pad', 'sand', 'lawn', 'lush', 'tail', 'green', 'hang', 'ledge', 'medal', 'couch', 'sleigh', 'bureau', 'coffee', 'pose', 'mud', 'folding chair', 'door', 'kitchen cabinet', 'dinning table', 'black', 'judge', 'log', 'sit', 'sweater', 'cabinet', 'car seat', 'play', 'officer', 'catch', 'wrestle', 'shepherd', 'tan', 'dog', 'bottle', 'wood', 'sea', 'rope', 'car window', 'floor', 'doormat', 'car', 'yard', 'head', 'bite', 'pavement', 'red', 'stare', 'ball', 'weed', 'road', 'truck', 'chair', 'person', 'fence', 'doberman', 'pull', 'coast', 'sleepwear', 'cat bed', 'trailer truck', 'stick', 'window', 'building', 'sun', 'curl', 'football', 'pillow']"
103,"['field', 'neck', 'grassy', 'pet', 'jump', 'mouth', 'wear', 'rocky', 'ribbon', 'backyard', 'mountain range', 'handkerchief', 'dog bed', 'animal', 'chase', 'mound', 'park', 'scarf', 'shed', 'sunglasses', 'winter', 'tree', 'canopy', 'ski', 'dog breed', 'leash', 'walk', 'toy', 'lay', 'blanket', 'headscarf', 'contest', 'tent', 'skier', 'boot', 'ski slope', 'purple', 'police dog', 'bed', 'terrain', 'man', 'cement', 'sweatshirt', 'nose', 'enclosure', 'lake', 'hedge', 'tape', 'obstacle course', 'break', 'pole', 'bush', 'sheepdog', 'hillside', 'swimming pool', 'hand', 'trail', 'fur', 'jacket', 'german shepherd', 'relax', 'dirt track', 'couple', 'shirt', 'pool', 'house', 'pine', 'shelter', 'crate', 'bedcover', 'carpet', 'stone', 'brown', 'paw', 'snow', 'snowy', 'forest', 'picnic table', 'trainer', 'yellow', 'doorway', 'grass', 'boulder', 'mat', 'comfort', 'juggle', 'lick', 'neckband', 'sky', 'branch', 'hut', 'path', 'dog house', 'stand', 'deck', 'woman', 'boy', 'cage', 'boardwalk', 'lead', 'lawn', 'lush', 'tail', 'golden retriever', 'green', 'hang', 'ledge', 'goggles', 'camper', 'door', 'black', 'judge', 'plaque', 'sit', 'ski pole', 'house exterior', 'play', 'catch', 'wrestle', 'shepherd', 'garage door', 'baby', 'run', 'tan', 'dog', 'wood', 'hike', 'shirtless', 'floor', 'retriever', 'yard', 'crowd', 'flower', 'give', 'tarp', 'pavement', 'red', 'stare', 'fir tree', 'ball', 'evergreen', 'road', 'close-up', 'person', 'fence', 'shadow', 'mountain', 'cat bed', 'stick', 'spectator', 'building', 'snowshoe', 'stall', 'sun', 'twig', 'pillow']"
49,"['field', 'stair', 'screen door', 'rice field', 'glass door', 'grassy', 'pet', 'tulip', 'attach', 'swamp', 'wear', 'mouth', 'trophy', 'gray', 'cart', 'rocky', 'curb', 'backyard', 'handkerchief', 'dog bed', 'animal', 'chase', 'broom', 'wagon', 'trophy cup', 'stool', 'shoe', 'kitchen floor', 'curtain', 'tree', 'teething ring', 'white', 'hardwood floor', 'dog breed', 'back', 'leash', 'walk', 'tub', 'selfie', 'toy', 'bow tie', 'lay', 'seat belt', 'table', 'blanket', 'bench', 'face', 'boot', 'purple', 'pond', 'bed', 'man', 'cement', 'nose', 'windy', 'enclosure', 'creek', 'beagle', 'swab', 'strap', 'seat', 'hedge', 'balustrade', 'cloudy', 'sheepdog', 'hillside', 'gravel', 'wet', 'fur', 'relax', 'trail', 'tree trunk', 'porch', 'couple', 'water', 'window seat', 'award', 'forest path', 'lap', 'teddy', 'baby carriage', 'crate', 'stuff', 'carpet', 'armchair', 'stone', 'park bench', 'brown', 'out', 'paw', 'snow', 'push', 'hug', 'snowy', 'laundry basket', 'foot', 'beach', 'brush', 'floral arrangement', 'yellow', 'throne', 'doorway', 'grass', 'boulder', 'mat', 'neckband', 'lick', 'sky', 'picture frame', 'path', 'stand', 'deck', 'wood floor', 'puddle', 'woman', 'cage', 'dune', 'tennis', 'pad', 'sand', 'lawn', 'rock formation', 'lush', 'tail', 'green', 'hang', 'ledge', 'couch', 'sleigh', 'pose', 'hat', 'mud', 'window sill', 'black', 'urn', 'log', 'sit', 'basket', 'car seat', 'rock face', 'house exterior', 'play', 'catch', 'wind', 'rail', 'slide', 'lilac', 'run', 'tan', 'dog', 'wood', 'sea', 'quilt', 'car window', 'floor', 'car', 'doormat', 'tie', 'yard', 'christmas hat', 'flower', 'shopping cart', 'pavement', 'head', 'vase', 'red', 'stare', 'ball', 'road', 'dry', 'chair', 'close-up', 'person', 'hair', 'fence', 'stick', 'blow', 'window', 'building', 'hide', 'sun', 'pillow']"
69,"['field', 'stair', 'screen door', 'glass door', 'grassy', 'pet', 'attach', 'wood wall', 'mouth', 'wear', 'trophy', 'paling', 'barber', 'ribbon', 'backyard', 'dog bed', 'animal', 'chase', 'scarf', 'stool', 'tree', 'swing', 'white', 'ivy', 'vehicle', 'dog breed', 'back', 'leash', 'walk', 'toy', 'sign', 'kneel', 'lay', 'blanket', 'plank', 'snowball', 'contest', 'polo shirt', 'squat', 'miniature', 'purple', 'food', 'cloth', 'bed', 'sleep', 'string', 'pot', 'man', 'dresser', 'sweatshirt', 'cement', 'nose', 'polo', 'garden', 'beagle', 'shawl', 'autumn leave', 'hedge', 'bin', 'balustrade', 'barrel', 'obstacle course', 'blue', 'porch', 'fur', 'relax', 'award', 'pick up', 'plant', 'toilet paper', 'lap', 'tile wall', 'carpet', 'armchair', 'bowl', 'stone', 'vegetation', 'brown', 'out', 'paw', 'dirt field', 'snow', 'glass bowl', 'patch', 'brush', 'trainer', 'twig', 'yellow', 'hassock', 'doorway', 'grass', 'mat', 'neckband', 'lick', 'mess', 'greenery', 'path', 'dog house', 'stand', 'woman', 'boy', 'cage', 'pad', 'lush', 'tail', 'cocker', 'green', 'ledge', 'goggles', 'couch', 'smell', 'bureau', 'pose', 'mud', 'flower bed', 'land', 'business suit', 'concrete', 'black', 'judge', 'log', 'plaque', 'sit', 'car seat', 'house exterior', 'play', 'autumn park', 'catch', 'rail', 'wind', 'windshield', 'garage door', 'sunflower field', 'comb', 'run', 'dog', 'wood', 'rope', 'car window', 'floor', 'car', 'retriever', 'yard', 'jeep', 'doormat', 'tie', 'flower', 'silver', 'head', 'pavement', 'bite', 'red', 'stare', 'road', 'dry', 'chair', 'person', 'hair', 'fence', 'close-up', 'taste', 'treat', 'wrap', 'cat bed', 'stick', 'window', 'hide', 'bush', 'curl', 'pillow', 'footstall']"
8,"['field', 'screen door', 'neck', 'surf', 'glass door', 'grassy', 'pet', 'jump', 'hill', 'swamp', 'mouth', 'wear', 'rocky', 'gray', 'open', 'pointer', 'photo', 'dog bed', 'chase', 'animal', 'park', 'hydrant', 'stool', 'kitchen floor', 'shoe', 'sunglasses', 'tree', 'track', 'white', 'hardwood floor', 'dog breed', 'leash', 'walk', 'tub', 'toy', 'kneel', 'lay', 'cone', 'blanket', 'bench', 'swim', 'balance', 'contest', 'bedroom', 'squat', 'pond', 'bark', 'bed', 'sleep', 'girl', 'terrain', 'pot', 'golf course', 'dog collar', 'man', 'cat', 'forest floor', 'sweatshirt', 'laboratory', 'nose', 'area', 'creek', 'rural', 'wash', 'barrier', 'living room', 'autumn leave', 'lake', 'hedge', 'barrel', 'obstacle course', 'blue', 'up', 'bush', 'break', 'pole', 'swimming pool', 'stump', 'sword', 'wet', 'fur', 'relax', 'dirt track', 'tree trunk', 'porch', 'couple', 'water', 'plant', 'shirt', 'award', 'pool', 'chain', 'tile', 'lap', 'teddy', 'tire', 'stuff', 'bedcover', 'carpet', 'armchair', 'stone', 'vegetation', 'park bench', 'brown', 'paw', 'course', 'dirt field', 'remote', 'snow', 'snowy', 'milk', 'tree branch', 'foot', 'ramp', 'pine cone', 'take', 'forest', 'patch', 'dirt road', 'beach', 'pillar', 'brush', 'receive', 'trainer', 'trick', 'yellow', 'tube', 'doorway', 'grass', 'mat', 'comfort', 'neckband', 'lick', 'sky', 'path', 'branch', 'hula hoop', 'stand', 'puddle', 'jeans', 'terrace', 'deck', 'woman', 'boy', 'wood floor', 'boardwalk', 'bathroom', 'greyhound', 'dachshund', 'dress', 'child', 'tennis', 'pad', 'sand', 'lawn', 'lush', 'jug', 'closet', 'green', 'hang', 'ledge', 'goggles', 'couch', 'pose', 'mud', 'flower bed', 'carry', 'climb', 'land', 'boxer', 'business suit', 'dinning table', 'black', 'judge', 'log', 'sit', 'sweater', 'house exterior', 'play', 'bridge', 'nightstand', 'catch', 'rail', 'wave', 'pigeon', 'shepherd', 'run', 'tan', 'dog', 'bottle', 'wood', 'sea', 'floor', 'yard', 'tie', 'pavement', 'bite', 'red', 'stare', 'footprint', 'ladder', 'ball', 'evergreen', 'weed', 'road', 'plow', 'person', 'fence', 'chair', 'bath', 'container', 'smile', 'cup', 'coast', 'headboard', 'hurdle', 'hose', 'labrador', 'stick', 'sun', 'twig', 'pillow']"
