index,target,tags,irrelevant_tags
1873,0,alley | blanket | building | car | doodle | red | stop sign | sports car | urban,blanket | doodle | red | alley | stop sign | urban | building
1393,0,alley | blanket | building | car | floor | park | red | road | snow | snowy | stop sign | traffic sign | white,road | blanket | snow | red | park | floor | traffic sign | alley | snowy | stop sign | white | building
2560,0,car | pillar | driveway | garage | garage door | home | house | house exterior | lift | suv,garage door | pillar | garage | house | home | house exterior | lift
6725,1,car | drive | highway | night | recreational vehicle | road | sky | van | white,night | highway | road | sky | white
6729,1,car | flip | park | road | suv | tree | wood,tree | road | flip | park | wood
7568,1,animal | brown | car | dog | jump | lick | park | road | rural | sedan | silver | stand | stretch,jump | silver | stretch | brown | dog | animal | lick | park | stand | road | rural
6937,1,animal | area | brush | car | hillside | jeep | minivan | park | ram | stand | suv | white | wood,ram | wood | animal | area | park | hillside | stand | brush | white
1813,0,attach | building | car | chain saw | city | office building | red | saw | street sign | sports car | toy car,street sign | saw | chain saw | city | red | office building | attach | building
4627,1,animal | car | dirt field | dirt road | dirt track | horse | jump | land | pick up | plow | rural | suv | truck | white,jump | land | plow | horse | dirt track | dirt field | dirt road | animal | rural | white
7796,1,car | curve | drive | fly | forest | jump | jeep | lift | road | stunt | suv | tree,jump | forest | tree | curve | stunt | fly | road | lift
1567,0,alley | building | car | hydrant | narrow | park | pavement | road | sedan | silver | white,pavement | hydrant | silver | narrow | park | alley | road | white | building
556,0,blue | car | driveway | flip | fly | home | jump | house | house exterior | hydrant,jump | hydrant | flip | house | home | blue | fly | house exterior
203,0,accident | building | car | damage | driveway | garage | home | house | house exterior | park,damage | garage | house | home | park | house exterior | building
4336,1,car | drive | flip | fly | highway | jump | road | rural | traffic light | suv | tree | vehicle | white,jump | traffic light | tree | flip | fly | highway | road | rural | white
1015,0,car | fill | fuel | garage | gas | gas station | pump | repair | tool,tool | garage | fill | gas station | gas | repair | fuel | pump
3965,0,black | cactus | car | desert | desert road | dirt track | flip | fly | jump | jeep | land | sky | stunt | suv | terrain | trick | vehicle,jump | land | trick | cactus | flip | terrain | dirt track | desert | desert road | stunt | fly | black | sky
7265,1,car | trench | drive | flip | jeep | road | rural | suv | vehicle,road | flip | rural | trench
6505,1,animal | blue | car | path | forest | lamb | park | pick up | road | sheep | stand | suv | walk | white | wood,sheep | forest | walk | lamb | blue | animal | wood | park | stand | road | path | white
731,0,building | car | driveway | garage | garage door | home | house | red,garage door | garage | house | home | red | building
7751,1,car | desert road | dirt road | drive | hillside | mountain | mountain path | park | road | silver | suv | terrain | vehicle | white,silver | terrain | desert road | dirt road | mountain | hillside | mountain path | park | road | white
1574,0,car | drive | green | light | intersection | red | road | signal | stop light | traffic light | suv | white,stop light | traffic light | signal | intersection | green | light | red | road | white
4033,1,animal | building | bull | car | cow | flip | jump | lift | pick up | pole | red | stand | stunt | suv | truck,cow | jump | bull | flip | red | animal | stand | pole | stunt | lift | building
5046,1,animal | car | highway | jump | lamb | minivan | ram | road | rural | sheep | stand | suv | van,jump | sheep | ram | lamb | animal | stand | highway | road | rural
7504,1,animal | brown | brown bear | car | drive | forest | forest road | jump | jeep | pick up | red | road | rural | suv | tree | truck | wood,jump | forest | tree | road | brown bear | forest road | brown | red | animal | wood | rural
6518,1,animal | car | drive | minivan | road | suv | tree | van,road | animal | tree
870,0,blue | car | card | driveway | flip | greeting card | home | house | house exterior | palm tree | sale | sports car,greeting card | sale | flip | palm tree | home | house | blue | house exterior | card
4458,1,bull | car | curve | flip | highway | jump | lift | pick up | road | rural | silver | stunt | tow truck | trailer truck | truck,jump | silver | bull | flip | curve | stunt | highway | road | rural | lift
