index,target,tags,irrelevant_tags
2050,0,black,black
2564,0,black,black
2388,0,black,black
7148,1,white,white
2700,0,black,black
2672,0,black,black
7940,1,white,white
4211,0,black,black
8858,1,white,white
8786,1,white,white
6291,1,white,white
6298,1,white,white
3109,0,black,black
5731,1,white,white
436,0,black,black
3209,0,black,black
3657,0,black,black
3331,0,black,black
7325,1,white,white
6966,1,white,white
5123,1,white,white
9167,1,white,white
7352,1,white,white
1779,0,black,black
7633,1,white,white
8077,1,white,white
7686,1,white,white
9769,1,white,white
889,0,black,black
9101,1,white,white
8827,1,white,white
6307,1,white,white
7192,1,white,white
8176,1,white,white
7585,1,white,white
3104,0,black,black
3930,0,black,black
1672,0,black,black
9774,1,white,white
9773,1,white,white
6294,1,white,white
1199,0,black,black
7278,1,white,white
4383,1,black,black
9460,1,white,white
7663,1,white,white
10361,0,white,white
6632,1,white,white
1906,0,black,black
419,0,black,black
7031,1,white,white
5240,1,white,white
2648,0,black,black
8284,1,white,white
7251,1,white,white
6812,1,white,white
7012,1,white,white
8189,1,white,white
3474,0,black,black
6563,1,white,white
6963,1,white,white
3572,0,black,black
3879,0,black,black
7366,1,white,white
9989,1,white,white
2463,0,black,black
2266,0,black,black
1476,0,black,black
5237,1,white,white
7345,1,white,white
8741,1,white,white
2182,0,black,black
8264,1,white,white
418,0,black,black
9358,1,white,white
9968,1,white,white
10641,0,white,white
6312,1,white,white
8806,1,white,white
7266,1,white,white
10050,1,white,white
8998,1,white,white
1888,0,black,black
9591,1,white,white
6544,1,white,white
8153,1,white,white
1631,0,black,black
2768,0,black,black
3228,0,black,black
9392,1,white,white
8728,1,white,white
7137,1,white,white
1952,0,black,black
4185,0,black,black
8087,1,white,white
600,0,black,black
1435,0,black,black
8747,1,white,white
7205,1,white,white
5517,1,white,white
6030,1,white,white
3217,0,black,black
2361,0,black,black
1943,0,black,black
3723,0,black,black
445,0,black,black
7660,1,white,white
7651,1,white,white
7919,1,white,white
7941,1,white,white
2698,0,black,black
6147,1,white,white
8716,1,white,white
7620,1,white,white
2159,0,black,black
3785,0,black,black
2185,0,black,black
6915,1,white,white
3458,0,black,black
486,0,black,black
369,0,black,black
2523,0,black,black
556,0,black,black
1595,0,black,black
2780,0,black,black
4476,1,black,black
9716,1,white,white
7648,1,white,white
6390,1,white,white
9579,1,white,white
636,0,black,black
8275,1,white,white
7302,1,white,white
7831,1,white,white
9723,1,white,white
152,0,black,black
4858,1,white,white
10415,0,white,white
5525,1,white,white
9388,1,white,white
8972,1,white,white
2878,0,black,black
9515,1,white,white
4006,0,black,black
5279,1,white,white
148,0,black,black
8784,1,white,white
1819,0,black,black
7544,1,white,white
6952,1,white,white
6767,1,white,white
3932,0,black,black
4827,1,white,white
805,0,black,black
4840,1,white,white
2970,0,black,black
223,0,black,black
8809,1,white,white
5753,1,white,white
531,0,black,black
204,0,black,black
9564,1,white,white
10322,0,white,white
9055,1,white,white
3421,0,black,black
9798,1,white,white
4927,1,white,white
3538,0,black,black
3676,0,black,black
7408,1,white,white
4503,1,black,black
6122,1,white,white
9386,1,white,white
8042,1,white,white
1331,0,black,black
668,0,black,black
2257,0,black,black
2386,0,black,black
2058,0,black,black
1803,0,black,black
1195,0,black,black
7398,1,white,white
7670,1,white,white
6119,1,white,white
5721,1,white,white
996,0,black,black
9527,1,white,white
1200,0,black,black
5009,1,white,white
8384,1,white,white
4263,0,black,black
6611,1,white,white
2744,0,black,black
3391,0,black,black
1556,0,black,black
1322,0,black,black
10309,0,white,white
7281,1,white,white
1326,0,black,black
1194,0,black,black
660,0,black,black
10358,0,white,white
1324,0,black,black
3526,0,black,black
5239,1,white,white
384,0,black,black
3634,0,black,black
10624,0,white,white
3703,0,black,black
3286,0,black,black
3732,0,black,black
1876,0,black,black
6894,1,white,white
3152,0,black,black
6589,1,white,white
9573,1,white,white
2643,0,black,black
4596,1,black,black
7824,1,white,white
3898,0,black,black
3431,0,black,black
3481,0,black,black
9830,1,white,white
2008,0,black,black
7769,1,white,white
8364,1,white,white
10017,1,white,white
9703,1,white,white
2550,0,black,black
1351,0,black,black
