index,target,tags,irrelevant_tags
2551,0,bird | forest | ledge | perch | sit | sparrow | stand | stump | tree | tree trunk | wood,forest | sit | wood | ledge | tree | stand | stump | tree trunk | perch
4513,1,beach | bird | coast | fly | gull | person | sea | pelican | sand | seabird | shore | shoreline | water,coast | fly | beach | sand | person | sea | shoreline | shore | water
597,0,beak | bird | black | canary | floor | forest | lush | perch | stone | sit | stand | tree | wood | yellow,forest | floor | sit | wood | stone | tree | yellow | stand | black | lush | perch
1413,0,bird | blue | bluebird | branch | forest | perch | stand | tree | tree trunk | wood,branch | forest | wood | tree | blue | stand | tree trunk | perch
3079,0,bamboo forest | beak | bird | branch | brown | forest | perch | sit | sparrow | stand | tree | twig | white,branch | white | forest | sit | brown | tree | stand | twig | bamboo forest | perch
263,0,bird | boat | green | sea | perch | sail | sailboat | vessel | water | yellow,boat | green | sail | yellow | vessel | sea | sailboat | perch | water
664,0,animal | beak | bird | fly | lush | tree | wood,fly | wood | tree | animal | lush
3446,0,bamboo forest | beak | bird | branch | floor | path | hide | lush | plant | stand | tree | vegetation | woodpecker,branch | floor | tree | path | stand | hide | vegetation | plant | bamboo forest | lush
21,0,bamboo forest | beak | bird | branch | cardinal | lush | parrot | perch | red | sit | stand | tree,branch | sit | tree | stand | red | bamboo forest | lush | perch
2602,0,bamboo | bamboo forest | bird | branch | brown | hide | owl | perch | sit | sparrow | stand | stem | tree | vegetation,branch | sit | brown | tree | bamboo | stand | stem | hide | vegetation | bamboo forest | perch
3022,0,beak | bird | branch | perch | sit | sparrow | tree | white | yellow,branch | white | sit | tree | yellow | perch
1964,0,bamboo | bamboo forest | beak | bird | branch | brown | brush | gray | green | lush | perch | plant | reed | sit | stand | stem | vegetation,branch | reed | sit | brown | bamboo | green | stand | stem | vegetation | gray | plant | brush | bamboo forest | lush | perch
3973,1,bird | dirt field | duck | duckling | flock | floor | lake | mud | puddle | stone | sand | stand | water | water bird,duckling | lake | mud | dirt field | puddle | stone | sand | stand | floor | water
80,0,beak | bird | boardwalk | brown | cloudy | dock | ledge | sea | perch | rail | ramp | sit | sky | sparrow | stand | water,dock | boardwalk | cloudy | sit | ledge | brown | ramp | sea | rail | stand | sky | perch | water
3791,1,beak | bird | flap | floor | fly | food | frozen | gull | lake | landing | pond | sky | spread | stand | swamp | water | white | wing,lake | white | fly | flap | landing | floor | spread | stand | frozen | food | sky | pond | swamp | water
1233,0,bird | black | cross | crow | floor | gray | hillside | perch | pole | stone | stand | tree,floor | tree | stone | cross | stand | black | gray | hillside | pole | perch
2696,0,autumn forest | beak | bird | blue | branch | fly | forest | perch | sit | tree,autumn forest | branch | fly | forest | sit | tree | blue | perch
4383,1,balcony | balustrade | lighthouse | bird | dock | fly | gull | ledge | sea | rail | seabird | water | white | window | wing,white | fly | dock | ledge | sea | rail | window | balcony | lighthouse | balustrade | water
3407,0,bird | black | floor | lake | ledge | log | park | park bench | perch | pond | sit | stand | tree | water | yellow,lake | floor | sit | ledge | tree | yellow | stand | black | log | park bench | park | pond | perch | water
34,0,bird | brown | cliff | coast | ledge | sea | perch | stone | rocky | shoreline | sit | sparrow | stand | water | yellow,coast | rocky | sit | ledge | brown | stone | yellow | stand | sea | cliff | shoreline | perch | water
3969,1,beak | bird | paddle | duck | floor | lake | mallard duck | sea | stand | water | water bird,lake | stand | sea | paddle | floor | water
3145,0,area | bird | black | blanket | crow | eagle | flight | floor | fly | grass | grassy | green | lush | raven | swamp | tree,fly | flight | floor | green | grassy | tree | black | area | blanket | grass | lush | swamp
1159,0,beak | bird | brown | field | flower | grass | grassy | green | lush | sparrow | stand | walk | weed | yellow,walk | brown | grassy | green | yellow | stand | grass | field | weed | flower | lush
456,0,bird | boy | girl | parrot | perch | plant | red | shirt | stand | vegetation,perch | shirt | stand | boy | vegetation | plant | red | girl
2392,0,bamboo forest | beak | bird | green | hummingbird | ledge | parrot | perch | pole | rail | sit | stand | tree,sit | green | tree | ledge | stand | rail | bamboo forest | pole | perch
4315,1,bird | duck | float | lake | sea | sky | water,lake | float | sea | sky | water
3207,0,beak | bird | blanket | branch | floor | ledge | perch | snow | snowy | stand | stick | tree,branch | snowy | ledge | tree | snow | stand | blanket | stick | floor | perch
179,0,bird | brown | fern | green | lush | perch | redwood | sit | stand | stump | tree | tree trunk,sit | brown | tree | green | redwood | stand | stump | fern | tree trunk | lush | perch
2809,0,bamboo forest | bird | brown | forest | perch | railroad | road | sit | sparrow | stand | train track | tree | walk,train track | road | forest | sit | brown | railroad | tree | stand | walk | bamboo forest | perch
1094,0,bamboo | bamboo forest | bird | blue | path | forest | parrot | perch | rail | tail | tree | yellow,forest | tree | bamboo | yellow | tail | blue | path | rail | bamboo forest | perch
4467,1,bamboo forest | beak | bird | branch | canopy | cockatoo | hang | hide | parrot | pigeon | tree | white,branch | canopy | white | hang | tree | hide | bamboo forest
4277,1,bird | boat | cormorant | mast | sea | sail | sailboat | vessel | water,boat | mast | sail | vessel | sea | sailboat | water
1285,0,bamboo forest | bird | boardwalk | brown | fern | path | forest | green | greenery | lush | owl | perch | sparrow | stair | tree | vegetation | wood,forest | boardwalk | fern | brown | green | tree | wood | path | greenery | vegetation | stair | bamboo forest | lush | perch
2215,0,bamboo | bamboo forest | beak | bird | hide | perch | stand | stem | tree | woodpecker,tree | bamboo | stand | stem | hide | bamboo forest | perch
139,0,bamboo forest | bird | brown | forest | hide | stand | stem | tree | wood,forest | wood | brown | tree | stand | stem | hide | bamboo forest
242,0,beak | bird | cloud | cloudy | sea | perch | rail | sit | sky | stand | sunset | water | white,white | cloudy | sit | sunset | stand | sea | cloud | rail | sky | perch | water
997,0,beak | bird | boat | building | dock | ledge | parrot | perch | rail | sit | stand | vessel | water | waterway | yellow,building | dock | boat | sit | ledge | vessel | yellow | stand | rail | waterway | perch | water
4300,1,bird | dock | fly | gull | person | ledge | man | sea | rail | seabird | stand | water,fly | dock | man | ledge | person | stand | sea | rail | water
1590,0,beach | bird | child | crowded | person | sea | perch | stand | water,beach | person | stand | sea | child | crowded | perch | water
3293,0,beach | beach chair | bird | ledge | sea | perch | rail | sit | stand | sun | sunset | water | yellow,sit | ledge | beach | sun | beach chair | yellow | sunset | stand | sea | rail | perch | water
4578,1,bird | crane | fly | gull | lake | landing | pond | sky | spread | tree | water | white | wing,lake | white | fly | landing | tree | spread | sky | pond | water
569,0,bird | branch | cardinal | forest | perch | red | redwood | sit | stand | tree | tree trunk | wood,branch | forest | sit | wood | tree | redwood | stand | red | tree trunk | perch
2914,0,bird | cardinal | cloudy | fly | hillside | perch | red | sky,fly | cloudy | sky | red | hillside | perch
855,0,bird | field | grass | grassy | gray | green | lush | perch | sit | sky | stand | tree,sit | green | tree | grassy | stand | grass | field | gray | sky | lush | perch
1993,0,bamboo | bamboo forest | bird | black | brown | ledge | perch | sit | stand | stump | tree,sit | brown | tree | bamboo | ledge | stand | black | stump | bamboo forest | perch
2936,0,beak | bird | lake | night | perch | sit | sky | stand | water,lake | sit | night | stand | sky | perch | water
