Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
celeba,erm,seed_3,1,92.70613861083984,25.0
celeba,erm,seed_2,0,91.66917419433594,40.0
celeba,erm,seed_1,7,90.80753326416016,20.0
celeba,erm,seed_4,36,89.35477447509766,45.0
celeba,erm,seed_0,17,89.78559112548828,45.0
celeba,flacb,seed_3,3,92.01483154296875,25.0
celeba,flacb,seed_2,4,91.08306121826172,50.0
celeba,flacb,seed_1,9,90.96282958984375,35.0
celeba,flacb,seed_4,9,91.19828033447266,40.0
celeba,flacb,seed_0,6,91.41368865966797,30.0
celeba,mavias,seed_3,5,91.24837493896484,40.0
celeba,mavias,seed_2,6,88.97905731201172,50.0
celeba,mavias,seed_1,0,90.04107666015625,40.0
celeba,mavias,seed_4,10,90.54704284667969,55.0
celeba,mavias,seed_0,10,89.00410461425781,65.0
celeba,softcon,seed_3,3,91.7944107055664,40.0
celeba,softcon,seed_2,7,91.61406707763672,40.0
celeba,softcon,seed_1,0,87.53131103515625,45.0
celeba,softcon,seed_4,2,91.35356903076172,40.0
celeba,softcon,seed_0,3,92.53582000732422,40.0
celeba,sd,seed_3,7,91.82947540283203,40.0
celeba,sd,seed_2,1,92.87145233154297,30.0
celeba,sd,seed_1,13,89.88077545166016,45.0
celeba,sd,seed_4,10,89.88077545166016,45.0
celeba,sd,seed_0,2,90.20138549804688,45.0
celeba,jtt,seed_3,36,65.5896224975586,20.0
celeba,jtt,seed_2,30,63.129947662353516,39.39393997192383
celeba,jtt,seed_1,13,70.78949737548828,23.219696044921875
celeba,jtt,seed_4,7,66.90211486816406,18.560606002807617
celeba,jtt,seed_0,35,60.62017822265625,31.17424201965332
celeba,lff,seed_3,1,90.74742126464844,35.0
celeba,lff,seed_2,3,92.7662582397461,30.0
celeba,lff,seed_1,9,91.0079116821289,40.0
celeba,lff,seed_4,4,91.84951782226562,60.0
celeba,lff,seed_0,9,90.56206512451172,45.0
celeba,debian,seed_3,1,92.88648223876953,30.0
celeba,debian,seed_2,7,92.3755111694336,25.0
celeba,debian,seed_1,21,89.71044921875,50.0
celeba,debian,seed_4,12,91.1832504272461,35.0
celeba,debian,seed_0,3,91.56897735595703,50.0
waterbirds,erm,seed_3,99,97.25497436523438,37.5
waterbirds,erm,seed_2,84,97.18458557128906,25.0
waterbirds,erm,seed_1,77,97.34294891357422,25.0
waterbirds,erm,seed_4,67,97.34294891357422,25.0
waterbirds,erm,seed_0,67,97.1493911743164,25.0
waterbirds,flacb,seed_3,86,97.34294891357422,37.5
waterbirds,flacb,seed_2,98,97.27256774902344,50.0
waterbirds,flacb,seed_1,89,97.21977996826172,37.5
waterbirds,flacb,seed_4,75,97.09660339355469,37.5
waterbirds,flacb,seed_0,46,97.18458557128906,25.0
