Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
speech_accent_archive,erm,seed_3,42,84.60000157356262,80.40000200271606
speech_accent_archive,erm,seed_5,15,85.6000006198883,80.40000200271606
speech_accent_archive,erm,seed_2,45,84.3999981880188,77.7999997138977
speech_accent_archive,erm,seed_1,45,84.3999981880188,77.7999997138977
speech_accent_archive,erm,seed_6,37,85.50000190734863,80.40000200271606
speech_accent_archive,erm,seed_4,1,75.70000290870667,57.8000009059906
speech_accent_archive,erm,seed_0,0,0.0,0.0
speech_accent_archive,debian,seed_3,65,82.99999833106995,76.09999775886536
speech_accent_archive,debian,seed_2,38,84.20000076293945,80.0000011920929
speech_accent_archive,debian,seed_1,37,83.49999785423279,77.7999997138977
speech_accent_archive,debian,seed_4,36,85.39999723434448,82.20000267028809
speech_accent_archive,debian,seed_0,23,84.60000157356262,78.29999923706055
speech_accent_archive,jtt,seed_3,23,77.7999997138977,75.59999823570251
speech_accent_archive,jtt,seed_2,25,77.89999842643738,73.90000224113464
speech_accent_archive,jtt,seed_1,27,78.20000052452087,68.90000104904175
speech_accent_archive,jtt,seed_4,24,77.89999842643738,71.70000076293945
speech_accent_archive,jtt,seed_0,30,78.79999876022339,73.29999804496765
speech_accent_archive,lff,seed_3,31,83.09999704360962,77.7999997138977
speech_accent_archive,lff,seed_2,30,87.00000047683716,82.59999752044678
speech_accent_archive,lff,seed_1,64,85.9000027179718,77.7999997138977
speech_accent_archive,lff,seed_4,40,85.50000190734863,80.0000011920929
speech_accent_archive,lff,seed_0,39,83.70000123977661,80.0000011920929
speech_accent_archive,sd,seed_3,51,87.30000257492065,82.20000267028809
speech_accent_archive,sd,seed_2,37,85.00000238418579,76.09999775886536
speech_accent_archive,sd,seed_1,33,82.89999961853027,76.09999775886536
speech_accent_archive,sd,seed_4,33,86.2999975681305,82.20000267028809
speech_accent_archive,sd,seed_0,24,85.00000238418579,80.40000200271606
speech_accent_archive,di,seed_3,33,84.60000157356262,80.0000011920929
speech_accent_archive,di,seed_2,22,82.99999833106995,77.7999997138977
speech_accent_archive,di,seed_1,30,85.00000238418579,82.20000267028809
speech_accent_archive,di,seed_4,39,84.79999899864197,80.0000011920929
speech_accent_archive,di,seed_0,25,82.59999752044678,78.29999923706055
speech_accent_archive,badd,seed_3,34,82.99999833106995,81.30000233650208
speech_accent_archive,badd,seed_2,60,83.09999704360962,67.40000247955322
speech_accent_archive,badd,seed_1,34,82.99999833106995,81.30000233650208
speech_accent_archive,badd,seed_4,34,82.99999833106995,81.30000233650208
speech_accent_archive,badd,seed_0,22,82.4999988079071,80.59999942779541
speech_accent_archive,flac,seed_3,24,85.00000238418579,80.40000200271606
speech_accent_archive,flac,seed_2,37,83.89999866485596,82.20000267028809
speech_accent_archive,flac,seed_1,37,83.89999866485596,82.20000267028809
speech_accent_archive,flac,seed_4,44,86.10000014305115,82.59999752044678
speech_accent_archive,flac,seed_0,24,85.00000238418579,80.40000200271606
speech_accent_archive,bb,seed_3,50,83.30000042915344,80.0000011920929
speech_accent_archive,bb,seed_2,18,85.19999980926514,80.40000200271606
speech_accent_archive,bb,seed_1,49,84.89999771118164,77.7999997138977
speech_accent_archive,bb,seed_4,40,86.10000014305115,83.70000123977661
speech_accent_archive,bb,seed_0,66,84.79999899864197,80.40000200271606
speech_accent_archive,end,seed_3,28,82.89999961853027,75.59999823570251
speech_accent_archive,end,seed_2,42,84.60000157356262,80.40000200271606
speech_accent_archive,end,seed_1,15,85.6000006198883,80.40000200271606
speech_accent_archive,end,seed_4,45,84.3999981880188,77.7999997138977
speech_accent_archive,end,seed_0,37,85.50000190734863,80.40000200271606
speech_accent_archive,groupdro,seed_3,29,82.09999799728394,73.90000224113464
speech_accent_archive,groupdro,seed_2,27,83.60000252723694,76.09999775886536
speech_accent_archive,groupdro,seed_1,52,83.70000123977661,78.29999923706055
speech_accent_archive,groupdro,seed_4,33,82.89999961853027,73.29999804496765
speech_accent_archive,groupdro,seed_0,10,81.69999718666077,73.29999804496765
speech_accent_archive,maviasb,seed_3,32,86.10000014305115,84.3999981880188
speech_accent_archive,maviasb,seed_2,23,85.00000238418579,84.3999981880188
speech_accent_archive,maviasb,seed_1,34,87.99999952316284,84.89999771118164
speech_accent_archive,maviasb,seed_4,22,85.9000027179718,84.79999899864197
speech_accent_archive,maviasb,seed_0,35,86.90000176429749,84.79999899864197
