Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
urbansounds58,erm,seed_3,48,72.89999723434448,46.70000076293945
urbansounds58,erm,seed_2,28,73.00000190734863,46.70000076293945
urbansounds58,erm,seed_1,26,72.2000002861023,53.29999923706055
urbansounds58,erm,seed_4,8,75.70000290870667,44.10000145435333
urbansounds58,erm,seed_0,34,70.59999704360962,46.70000076293945
urbansounds58,debian,seed_3,32,69.0999984741211,50.0
urbansounds58,debian,seed_2,15,71.39999866485596,53.29999923706055
urbansounds58,debian,seed_1,19,73.69999885559082,56.69999718666077
urbansounds58,debian,seed_4,25,70.09999752044678,53.29999923706055
urbansounds58,debian,seed_0,23,74.90000128746033,43.20000112056732
urbansounds58,jtt,seed_3,94,74.59999918937683,50.0
urbansounds58,jtt,seed_2,24,74.00000095367432,46.70000076293945
urbansounds58,jtt,seed_1,32,72.00000286102295,50.0
urbansounds58,jtt,seed_4,19,71.39999866485596,53.29999923706055
urbansounds58,jtt,seed_0,78,70.59999704360962,46.70000076293945
urbansounds58,lff,seed_3,4,72.29999899864197,50.0
urbansounds58,lff,seed_2,9,75.19999742507935,66.69999957084656
urbansounds58,lff,seed_1,14,71.39999866485596,46.70000076293945
urbansounds58,lff,seed_4,62,72.39999771118164,50.0
urbansounds58,lff,seed_0,7,66.90000295639038,51.39999985694885
urbansounds58,sd,seed_3,14,71.20000123977661,46.70000076293945
urbansounds58,sd,seed_2,15,72.10000157356262,46.70000076293945
urbansounds58,sd,seed_1,8,76.09999775886536,44.999998807907104
urbansounds58,sd,seed_4,96,70.99999785423279,50.0
urbansounds58,sd,seed_0,10,72.79999852180481,35.100001096725464
urbansounds58,di,seed_3,18,72.69999980926514,59.60000157356262
urbansounds58,di,seed_2,21,72.79999852180481,64.20000195503235
urbansounds58,di,seed_1,17,74.50000047683716,53.29999923706055
urbansounds58,di,seed_4,28,76.80000066757202,63.40000033378601
urbansounds58,di,seed_0,20,73.90000224113464,61.900001764297485
urbansounds58,badd,seed_3,18,75.3000020980835,59.700000286102295
urbansounds58,badd,seed_2,8,79.10000085830688,73.1000006198883
urbansounds58,badd,seed_1,14,75.0,64.3999993801117
urbansounds58,badd,seed_4,13,73.29999804496765,57.499998807907104
urbansounds58,badd,seed_0,39,76.70000195503235,73.00000190734863
urbansounds58,flac,seed_3,6,73.69999885559082,58.60000252723694
urbansounds58,flac,seed_2,6,69.30000185966492,60.00000238418579
urbansounds58,flac,seed_1,5,71.70000076293945,60.00000238418579
urbansounds58,flac,seed_4,13,65.6000018119812,53.29999923706055
urbansounds58,flac,seed_0,11,75.70000290870667,68.90000104904175
urbansounds58,bb,seed_3,9,71.10000252723694,56.69999718666077
urbansounds58,bb,seed_2,29,71.49999737739563,56.69999718666077
urbansounds58,bb,seed_1,11,74.29999709129333,66.69999957084656
urbansounds58,bb,seed_4,14,80.59999942779541,75.40000081062317
urbansounds58,bb,seed_0,18,78.89999747276306,71.20000123977661
urbansounds58,end,seed_3,97,72.60000109672546,46.70000076293945
urbansounds58,end,seed_2,11,76.80000066757202,69.9999988079071
urbansounds58,end,seed_1,19,71.49999737739563,50.0
urbansounds58,end,seed_4,8,71.79999947547913,50.0
urbansounds58,end,seed_0,26,69.9999988079071,53.29999923706055
urbansounds58,groupdro,seed_3,5,68.69999766349792,35.100001096725464
urbansounds58,groupdro,seed_2,8,68.80000233650208,46.99999988079071
urbansounds58,groupdro,seed_1,17,59.79999899864197,30.59999942779541
urbansounds58,groupdro,seed_4,12,69.80000138282776,43.299999833106995
urbansounds58,groupdro,seed_0,14,72.10000157356262,42.500001192092896
urbansounds58,maviasb,seed_3,14,75.0,71.49999737739563
urbansounds58,maviasb,seed_2,75,65.39999842643738,57.40000009536743
urbansounds58,maviasb,seed_1,36,70.49999833106995,66.69999957084656
urbansounds58,maviasb,seed_4,8,66.69999957084656,56.69999718666077
urbansounds58,maviasb,seed_0,85,66.39999747276306,61.10000014305115
