Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
bias_in_bios,erm,seed_2,0,0.0,0.0
bias_in_bios,erm,seed_1,33,69.9999988079071,26.899999380111694
bias_in_bios,erm,seed_0,32,69.40000057220459,23.899999260902405
bias_in_bios,debian,seed_3,13,67.59999990463257,25.40000081062317
bias_in_bios,debian,seed_2,12,68.00000071525574,28.40000092983246
bias_in_bios,debian,seed_1,13,67.59999990463257,25.40000081062317
bias_in_bios,debian,seed_4,8,68.19999814033508,23.899999260902405
bias_in_bios,debian,seed_0,8,68.00000071525574,25.40000081062317
bias_in_bios,jtt,seed_3,26,44.49999928474426,15.399999916553497
bias_in_bios,jtt,seed_2,1,46.59999907016754,12.300000339746475
bias_in_bios,jtt,seed_1,13,45.500001311302185,24.60000067949295
bias_in_bios,jtt,seed_0,33,44.200000166893005,23.100000619888306
bias_in_bios,lff,seed_3,16,69.49999928474426,26.899999380111694
bias_in_bios,lff,seed_2,10,69.30000185966492,22.40000069141388
bias_in_bios,lff,seed_1,12,69.0999984741211,29.899999499320984
bias_in_bios,lff,seed_4,10,69.70000267028809,33.30000042915344
bias_in_bios,lff,seed_0,25,69.49999928474426,26.899999380111694
bias_in_bios,sd,seed_3,25,68.00000071525574,19.40000057220459
bias_in_bios,sd,seed_2,33,68.19999814033508,17.900000512599945
bias_in_bios,sd,seed_1,56,66.60000085830688,23.899999260902405
bias_in_bios,sd,seed_4,23,68.4000015258789,16.4000004529953
bias_in_bios,sd,seed_0,15,68.30000281333923,17.900000512599945
bias_in_bios,di,seed_3,24,68.99999976158142,25.40000081062317
bias_in_bios,di,seed_2,11,69.80000138282776,31.299999356269836
bias_in_bios,di,seed_1,9,68.50000023841858,34.299999475479126
bias_in_bios,di,seed_0,11,69.30000185966492,34.299999475479126
bias_in_bios,badd,seed_3,16,69.30000185966492,42.899999022483826
bias_in_bios,badd,seed_2,8,70.89999914169312,44.600000977516174
bias_in_bios,badd,seed_1,13,70.09999752044678,44.40000057220459
bias_in_bios,badd,seed_4,7,70.3000009059906,42.69999861717224
bias_in_bios,badd,seed_0,8,69.80000138282776,41.10000133514404
bias_in_bios,flac,seed_3,15,67.5000011920929,26.899999380111694
bias_in_bios,flac,seed_2,10,69.40000057220459,26.899999380111694
bias_in_bios,flac,seed_1,16,68.00000071525574,32.8000009059906
bias_in_bios,flac,seed_4,12,68.69999766349792,28.40000092983246
bias_in_bios,flac,seed_0,10,67.79999732971191,34.299999475479126
bias_in_bios,bb,seed_3,16,66.50000214576721,0.0
bias_in_bios,bb,seed_2,30,66.29999876022339,0.0
bias_in_bios,bb,seed_1,30,65.89999794960022,0.0
bias_in_bios,bb,seed_4,20,65.89999794960022,0.0
bias_in_bios,bb,seed_0,16,66.10000133514404,0.0
bias_in_bios,end,seed_3,17,69.80000138282776,26.899999380111694
bias_in_bios,end,seed_2,11,69.40000057220459,22.40000069141388
bias_in_bios,end,seed_1,0,0.0,0.0
bias_in_bios,end,seed_0,14,69.59999799728394,25.40000081062317
bias_in_bios,groupdro,seed_3,1,72.60000109672546,53.60000133514404
bias_in_bios,groupdro,seed_2,1,72.39999771118164,55.19999861717224
bias_in_bios,groupdro,seed_1,1,71.49999737739563,54.60000038146973
bias_in_bios,groupdro,seed_4,3,73.29999804496765,46.39999866485596
bias_in_bios,groupdro,seed_0,2,73.29999804496765,52.49999761581421
